user,group,task,method,rating

g1_user1,g1,task1,methodA,2
g1_user1,g1,task1,methodB,1
g1_user1,g1,task2.1,methodA,1
g1_user1,g1,task2.1,methodC,4
g1_user1,g1,task2.1,methodD,2
g1_user1,g1,task2.2,methodA,1
g1_user1,g1,task2.2,methodC,4
g1_user1,g1,task2.2,methodD,1
g1_user1,g1,task3,methodA,2
g1_user1,g1,task3,methodB,2

g1_user2,g1,task1,methodA,2
g1_user2,g1,task1,methodB,1
g1_user2,g1,task2.1,methodA,1
g1_user2,g1,task2.1,methodC,5
g1_user2,g1,task2.1,methodD,3
g1_user2,g1,task2.2,methodA,1
g1_user2,g1,task2.2,methodC,5
g1_user2,g1,task2.2,methodD,1
g1_user2,g1,task3,methodA,2
g1_user2,g1,task3,methodB,4

g2_user3,g2,task1,methodA,3
g2_user3,g2,task1,methodB,2
g2_user3,g2,task2.1,methodA,1
g2_user3,g2,task2.1,methodC,4
g2_user3,g2,task2.1,methodD,1
g2_user3,g2,task2.2,methodA,1
g2_user3,g2,task2.2,methodC,4
g2_user3,g2,task2.2,methodD,1
g2_user3,g2,task3,methodA,2
g2_user3,g2,task3,methodB,2

g2_user4,g2,task1,methodA,4
g2_user4,g2,task1,methodB,2
g2_user4,g2,task2.1,methodA,1
g2_user4,g2,task2.1,methodC,5
g2_user4,g2,task2.1,methodD,2
g2_user4,g2,task2.2,methodA,3
g2_user4,g2,task2.2,methodC,5
g2_user4,g2,task2.2,methodD,2
g2_user4,g2,task3,methodA,2
g2_user4,g2,task3,methodB,2

g2_user5,g2,task1,methodA,2
g2_user5,g2,task1,methodB,2
g2_user5,g2,task2.1,methodA,1
g2_user5,g2,task2.1,methodC,4
g2_user5,g2,task2.1,methodD,1
g2_user5,g2,task2.2,methodA,3
g2_user5,g2,task2.2,methodC,3
g2_user5,g2,task2.2,methodD,1
g2_user5,g2,task3,methodA,3
g2_user5,g2,task3,methodB,3

g3_user6,g3,task1,methodA,2
g3_user6,g3,task1,methodB,1
g3_user6,g3,task2.1,methodA,1
g3_user6,g3,task2.1,methodC,3
g3_user6,g3,task2.1,methodD,1
g3_user6,g3,task2.2,methodA,3
g3_user6,g3,task2.2,methodC,2
g3_user6,g3,task2.2,methodD,1
g3_user6,g3,task3,methodA,3
g3_user6,g3,task3,methodB,1

g3_user7,g3,task1,methodA,2
g3_user7,g3,task1,methodB,1
g3_user7,g3,task2.1,methodA,1
g3_user7,g3,task2.1,methodC,3
g3_user7,g3,task2.1,methodD,2
g3_user7,g3,task2.2,methodA,3
g3_user7,g3,task2.2,methodC,2
g3_user7,g3,task2.2,methodD,1
g3_user7,g3,task3,methodA,1
g3_user7,g3,task3,methodB,1

g3_user8,g3,task1,methodA,2
g3_user8,g3,task1,methodB,2
g3_user8,g3,task2.1,methodA,1
g3_user8,g3,task2.1,methodC,4
g3_user8,g3,task2.1,methodD,2
g3_user8,g3,task2.2,methodA,1
g3_user8,g3,task2.2,methodC,5
g3_user8,g3,task2.2,methodD,1
g3_user8,g3,task3,methodA,2
g3_user8,g3,task3,methodB,2

g4_user9,g4,task1,methodA,4
g4_user9,g4,task1,methodB,2
g4_user9,g4,task2.1,methodA,3
g4_user9,g4,task2.1,methodC,5
g4_user9,g4,task2.1,methodD,2
g4_user9,g4,task2.2,methodA,3
g4_user9,g4,task2.2,methodC,4
g4_user9,g4,task2.2,methodD,2
g4_user9,g4,task3,methodA,4
g4_user9,g4,task3,methodB,2

g4_user10,g4,task1,methodA,2
g4_user10,g4,task1,methodB,1
g4_user10,g4,task2.1,methodA,1
g4_user10,g4,task2.1,methodC,4
g4_user10,g4,task2.1,methodD,1
g4_user10,g4,task2.2,methodA,1
g4_user10,g4,task2.2,methodC,2
g4_user10,g4,task2.2,methodD,2
g4_user10,g4,task3,methodA,2
g4_user10,g4,task3,methodB,1

g1_user11,g1,task1,methodA,3
g1_user11,g1,task1,methodB,2
g1_user11,g1,task2.1,methodA,2
g1_user11,g1,task2.1,methodC,4
g1_user11,g1,task2.1,methodD,1
g1_user11,g1,task2.2,methodA,1
g1_user11,g1,task2.2,methodC,4
g1_user11,g1,task2.2,methodD,3
g1_user11,g1,task3,methodA,1
g1_user11,g1,task3,methodB,1

g2_user12,g2,task1,methodA,2
g2_user12,g2,task1,methodB,3
g2_user12,g2,task2.1,methodA,2
g2_user12,g2,task2.1,methodC,5
g2_user12,g2,task2.1,methodD,2
g2_user12,g2,task2.2,methodA,2
g2_user12,g2,task2.2,methodC,5
g2_user12,g2,task2.2,methodD,2
g2_user12,g2,task3,methodA,1
g2_user12,g2,task3,methodB,1

g3_user13,g3,task1,methodA,2
g3_user13,g3,task1,methodB,2
g3_user13,g3,task2.1,methodA,1
g3_user13,g3,task2.1,methodC,5
g3_user13,g3,task2.1,methodD,1
g3_user13,g3,task2.2,methodA,1
g3_user13,g3,task2.2,methodC,2
g3_user13,g3,task2.2,methodD,1
g3_user13,g3,task3,methodA,1
g3_user13,g3,task3,methodB,1

g4_user14,g4,task1,methodA,2
g4_user14,g4,task1,methodB,1
g4_user14,g4,task2.1,methodA,1
g4_user14,g4,task2.1,methodC,5
g4_user14,g4,task2.1,methodD,2
g4_user14,g4,task2.2,methodA,2
g4_user14,g4,task2.2,methodC,3
g4_user14,g4,task2.2,methodD,1
g4_user14,g4,task3,methodA,3
g4_user14,g4,task3,methodB,1

